Наименование полигона,Краткое наименование,Полигон,Номерной знак ТС,Наименование структурного подразделения,Тип закрепления,Выполняемые функции,Должность за кем закреплен ТС,дата путевого листа,"Данные путевых листов, пробег",Дата сигнала телематики,"Данные телематики, пробег",Штрафы,манера вождения
,,,,,,,,01.04.2024,"12,64",,,,
,,,,,,,,08.04.2024,"17,00",,,,
,,,,,,,,11.04.2024,"32,00",,,,
,,,,,,,,12.04.2024,"6,00",,,,
,,,,,,,,13.04.2024,"3,00",,,,
,,,,,,,,16.04.2024,"31,00",,,,
,,,,,,,,17.04.2024,"15,00",,,,
,,,,,,,,18.04.2024,"55,00",,,,
,,,,,,,,21.04.2024,"66,00",,,,
,,,,,,,,24.04.2024,"71,00",,,,
,,,,,,,,25.04.2024,"82,00",,,,
,,,,,,,,26.04.2024,"95,36",,,,
,,,,,,,,27.04.2024,"0,00",,,,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9470ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,,68,,0,2,0
,,,,,,,,01.04.2024,"10,30",,,,
,,,,,,,,08.04.2024,"18,00",,,1,
,,,,,,,,10.04.2024,"31,00",,,,
,,,,,,,,16.04.2024,"1,00",,,,
,,,,,,,,22.04.2024,"5,70",,,,
,,,,,,,,29.04.2024,"2,00",,,1,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9446ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,,415,,0,2,0
,,,,,,,,01.04.2024,"220,00",,,2,
,,,,,,,,18.04.2024,"95,00",,,,
,,,,,,,,27.04.2024,"100,00",,,,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,1037ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,,158,,0,1,0
,,,,,,,,01.04.2024,"1,00",,,,
,,,,,,,,01.04.2024,"48,12",,,,
,,,,,,,,03.04.2024,"78,90",,,1,
,,,,,,,,10.04.2024,"16,98",,,,
,,,,,,,,18.04.2024,"7,00",,,,
,,,,,,,,26.04.2024,"6,00",,,,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,С070ЕА77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,,103,,0,0,0
,,,,,,,,02.04.2024,"4,00",,,,
,,,,,,,,15.04.2024,"38,00",,,,
,,,,,,,,26.04.2024,"20,00",,,,
,,,,,,,,27.04.2024,"41,00",,,,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,1703АХ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,,0,,0,0,0
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9449ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,,5000,,"2,82",0,"5,9"
,,,,,,,,01.04.2024,"100,00",18.04.2024,"2,82",,
,,,,,,,,02.04.2024,"523,00",,,,
,,,,,,,,03.04.2024,"279,00",,,,
,,,,,,,,04.04.2024,"243,28",,,,
,,,,,,,,05.04.2024,"151,00",,,,
,,,,,,,,06.04.2024,"158,00",,,,
,,,,,,,,07.04.2024,"163,00",,,,
,,,,,,,,08.04.2024,"401,00",,,,
,,,,,,,,09.04.2024,"137,00",,,,
,,,,,,,,10.04.2024,"269,00",,,,
,,,,,,,,11.04.2024,"453,00",,,,
,,,,,,,,12.04.2024,"39,58",,,,
,,,,,,,,13.04.2024,"61,00",,,,
,,,,,,,,15.04.2024,"82,00",,,,
,,,,,,,,16.04.2024,"55,00",,,,
,,,,,,,,17.04.2024,"68,00",,,,
,,,,,,,,18.04.2024,"55,00",,,,
,,,,,,,,19.04.2024,"76,00",,,,
,,,,,,,,20.04.2024,"107,00",,,,
,,,,,,,,21.04.2024,"22,00",,,,
,,,,,,,,22.04.2024,"73,00",,,,
,,,,,,,,23.04.2024,"67,00",,,,
,,,,,,,,24.04.2024,"154,00",,,,
,,,,,,,,25.04.2024,"73,00",,,,
,,,,,,,,26.04.2024,"221,00",,,,
,,,,,,,,27.04.2024,"111,00",,,,
,,,,,,,,28.04.2024,"0,00",,,,
,,,,,,,,29.04.2024,"135,00",,,,
,,,,,,,,30.04.2024,"723,14",,,,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9444ВУ77,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,,,,244,,"8,99",0,"5,9"
,,,,,,,,01.04.2024,"21,00",02.04.2024,"8,99",,
,,,,,,,,02.04.2024,"9,00",,,,
,,,,,,,,05.04.2024,"2,00",,,,
,,,,,,,,07.04.2024,"10,00",,,,
,,,,,,,,08.04.2024,"4,00",,,,
,,,,,,,,09.04.2024,"15,00",,,,
,,,,,,,,10.04.2024,"42,00",,,,
,,,,,,,,12.04.2024,"41,00",,,,
,,,,,,,,13.04.2024,"10,00",,,,
,,,,,,,,14.04.2024,"6,00",,,,
,,,,,,,,17.04.2024,"46,00",,,,
,,,,,,,,19.04.2024,"1,00",,,,
,,,,,,,,21.04.2024,"13,00",,,,
,,,,,,,,25.04.2024,"18,00",,,,
,,,,,,,,28.04.2024,"6,00",,,,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,7900ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,,113,,"209,2",3,"5,9"
,,,,,,,,04.04.2024,"0,00",01.04.2024,"48,11",,
,,,,,,,,10.04.2024,"50,20",04.04.2024,"0,00",,
,,,,,,,,11.04.2024,"50,20",10.04.2024,"50,20",,
,,,,,,,,18.04.2024,"2,20",11.04.2024,"50,20",,
,,,,,,,,25.04.2024,"1,00",15.04.2024,"39,45",,
,,,,,,,,30.04.2024,"9,40",18.04.2024,"2,20",,
,,,,,,,,,,25.04.2024,"1,00",,
,,,,,,,,,,28.04.2024,"8,64",,
,,,,,,,,,,30.04.2024,"9,40",,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9443ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,,"80,58",,,6,"5,8"
,,,,,,,,04.04.2024,"1,53",,,,
,,,,,,,,10.04.2024,"20,20",,,2,
,,,,,,,,11.04.2024,"38,54",,,2,
,,,,,,,,18.04.2024,"19,31",,,2,
,,,,,,,,25.04.2024,"1,00",,,,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9440ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,,219,,"537,48",11,"5,4"
,,,,,,,,11.04.2024,"15,00",01.04.2024,"76,00",1,
,,,,,,,,15.04.2024,"18,00",03.04.2024,"29,00",1,
,,,,,,,,19.04.2024,"11,00",08.04.2024,"30,00",,
,,,,,,,,22.04.2024,"31,00",10.04.2024,"4,00",1,
,,,,,,,,24.04.2024,"10,00",11.04.2024,"15,00",,
,,,,,,,,25.04.2024,"69,00",15.04.2024,"18,00",,
,,,,,,,,26.04.2024,"30,00",16.04.2024,"25,00",,
,,,,,,,,29.04.2024,"34,00",17.04.2024,"17,00",,
,,,,,,,,30.04.2024,"1,00",18.04.2024,"137,00",3,
,,,,,,,,,,19.04.2024,"11,00",1,
,,,,,,,,,,22.04.2024,"31,00",,
,,,,,,,,,,24.04.2024,"10,00",1,
,,,,,,,,,,25.04.2024,"69,00",2,
,,,,,,,,,,26.04.2024,"30,48",1,
,,,,,,,,,,29.04.2024,"34,00",,
,,,,,,,,,,30.04.2024,"1,00",,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,О700ТВ197,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,,0,,0,0,0
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,6046НА77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,,"129,43",,,6,"5,3"
,,,,,,,,11.04.2024,"25,00",,,2,
,,,,,,,,15.04.2024,"18,00",,,1,
,,,,,,,,19.04.2024,"26,43",,,,
,,,,,,,,22.04.2024,"31,00",,,1,
,,,,,,,,24.04.2024,"10,00",,,,
,,,,,,,,25.04.2024,"19,00",,,2,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,1004ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,Прочие,,,,0,,0,0,0
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,1003ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,,11,,"560,37",3,6
,,,,,,,,19.04.2024,"11,00",01.04.2024,"102,14",,
,,,,,,,,,,03.04.2024,"29,00",,
,,,,,,,,,,08.04.2024,"30,00",1,
,,,,,,,,,,10.04.2024,"4,00",,
,,,,,,,,,,11.04.2024,"15,00",,
,,,,,,,,,,15.04.2024,"18,00",1,
,,,,,,,,,,16.04.2024,"25,00",,
,,,,,,,,,,17.04.2024,"17,37",,
,,,,,,,,,,18.04.2024,"137,00",,
,,,,,,,,,,19.04.2024,"11,00",,
,,,,,,,,,,22.04.2024,"33,15",1,
,,,,,,,,,,24.04.2024,"10,00",,
,,,,,,,,,,25.04.2024,"98,23",,
,,,,,,,,,,26.04.2024,"30,48",,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,6343НВ77,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,,,,129,,"129,34",1,6
,,,,,,,,01.04.2024,"25,00",01.04.2024,"25,00",,
,,,,,,,,05.04.2024,"18,00",05.04.2024,"18,00",,
,,,,,,,,19.04.2024,"26,00",19.04.2024,"26,00",1,
,,,,,,,,22.04.2024,"31,00",22.04.2024,"31,00",,
,,,,,,,,24.04.2024,"10,00",24.04.2024,"10,00",,
,,,,,,,,25.04.2024,"19,00",25.04.2024,"19,00",,
,,,,,,,,,,28.04.2024,"0,34",,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0030НА77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,,262,,"300,14",12,"5,9"
,,,,,,,,01.04.2024,"21,00",01.04.2024,"31,00",1,
,,,,,,,,02.04.2024,"18,00",02.04.2024,"18,00",2,
,,,,,,,,05.04.2024,"2,00",05.04.2024,"12,14",,
,,,,,,,,07.04.2024,"20,00",07.04.2024,"20,00",1,
,,,,,,,,08.04.2024,"4,00",08.04.2024,"10,00",,
,,,,,,,,09.04.2024,"15,00",09.04.2024,"15,00",,
,,,,,,,,10.04.2024,"42,00",10.04.2024,"42,00",2,
,,,,,,,,12.04.2024,"41,00",12.04.2024,"41,00",2,
,,,,,,,,13.04.2024,"10,00",13.04.2024,"10,00",,
,,,,,,,,14.04.2024,"6,00",14.04.2024,"6,00",,
,,,,,,,,17.04.2024,"46,00",17.04.2024,"46,00",1,
,,,,,,,,19.04.2024,"1,00",19.04.2024,"1,00",,
,,,,,,,,21.04.2024,"13,00",21.04.2024,"25,00",2,
,,,,,,,,25.04.2024,"17,00",25.04.2024,"17,00",1,
,,,,,,,,28.04.2024,"6,00",28.04.2024,"6,00",,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9401ВУ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,,208,,"1200,01",6,"5,9"
,,,,,,,,11.04.2024,"49,00",01.04.2024,"222,00",1,
,,,,,,,,12.04.2024,"6,00",11.04.2024,"49,00",,
,,,,,,,,15.04.2024,"1,00",12.04.2024,"6,00",,
,,,,,,,,18.04.2024,"28,00",15.04.2024,"5,00",1,
,,,,,,,,23.04.2024,"54,00",18.04.2024,"28,00",,
,,,,,,,,24.04.2024,"14,00",19.04.2024,"258,00",,
,,,,,,,,25.04.2024,"22,00",20.04.2024,"7,01",1,
,,,,,,,,27.04.2024,"26,00",23.04.2024,"54,00",,
,,,,,,,,28.04.2024,"8,00",24.04.2024,"14,00",,
,,,,,,,,,,25.04.2024,"22,00",1,
,,,,,,,,,,26.04.2024,"455,00",1,
,,,,,,,,,,27.04.2024,"26,00",,
,,,,,,,,,,28.04.2024,"8,00",1,
,,,,,,,,,,30.04.2024,"46,00",,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0006АЕ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,,461,,"525,62",6,"5,9"
,,,,,,,,01.04.2024,"10,32",01.04.2024,"10,32",,
,,,,,,,,08.04.2024,"17,00",08.04.2024,"17,00",1,
,,,,,,,,11.04.2024,"32,00",11.04.2024,"32,00",,
,,,,,,,,12.04.2024,"6,30",12.04.2024,"6,30",1,
,,,,,,,,13.04.2024,"3,00",13.04.2024,"3,00",,
,,,,,,,,16.04.2024,"31,00",16.04.2024,"31,00",,
,,,,,,,,21.04.2024,"66,00",17.04.2024,"15,00",,
,,,,,,,,24.04.2024,"77,00",18.04.2024,"55,00",1,
,,,,,,,,25.04.2024,"82,00",21.04.2024,"66,00",1,
,,,,,,,,26.04.2024,"131,00",24.04.2024,"77,00",1,
,,,,,,,,27.04.2024,"5,38",25.04.2024,"82,00",,
,,,,,,,,,,26.04.2024,"131,00",,
,,,,,,,,,,27.04.2024,"0,00",1,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0379НН77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,,103,,"352,21",11,"3,9"
,,,,,,,,02.04.2024,"5,00",02.04.2024,"5,00",,
,,,,,,,,16.04.2024,"3,00",10.04.2024,"68,1",2,
,,,,,,,,29.04.2024,"95,00",16.04.2024,"3,00",,
,,,,,,,,,,19.04.2024,"54,11",2,
,,,,,,,,,,25.04.2024,"48,00",,
,,,,,,,,,,29.04.2024,"95,00",3,
,,,,,,,,,,30.04.2024,"79,00",4,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0370НН77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,Прочие,,,,2,,0,0,0
,,,,,,,,26.04.2024,"1,44",,,,
,,,,,,,,27.04.2024,"0,56",,,,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,Х500ВН57,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,,0,,0,0,0
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0691ВО77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,,485,,"969,63",2,"5,8"
,,,,,,,,05.04.2024,"55,00",05.04.2024,"55,00",,
,,,,,,,,08.04.2024,"124,00",08.04.2024,"124,00",,
,,,,,,,,09.04.2024,"213,00",09.04.2024,"213,00",,
,,,,,,,,10.04.2024,"47,00",10.04.2024,"47,00",1,
,,,,,,,,12.04.2024,"9,00",12.04.2024,"9,00",,
,,,,,,,,18.04.2024,"37,00",16.04.2024,"65,00",,
,,,,,,,,,,17.04.2024,"208,00",1,
,,,,,,,,,,18.04.2024,"86,00",,
,,,,,,,,,,25.04.2024,"95,63",,
,,,,,,,,,,26.04.2024,"67,00",,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,7600НХ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,,233,,,7,0
,,,,,,,,04.04.2024,"97,00",,,3,
,,,,,,,,10.04.2024,"50,20",,,2,
,,,,,,,,11.04.2024,"50,20",,,,
,,,,,,,,18.04.2024,"34,20",,,2,
,,,,,,,,25.04.2024,"1,40",,,,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4075НТ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,,"211,5",,"403,97",14,"3,9"
,,,,,,,,01.04.2024,"76,00",01.04.2024,"76,00",2,
,,,,,,,,03.04.2024,"29,00",03.04.2024,"29,00",1,
,,,,,,,,08.04.2024,"30,00",08.04.2024,"30,00",2,
,,,,,,,,10.04.2024,"4,00",10.04.2024,"4,00",1,
,,,,,,,,11.04.2024,"15,00",11.04.2024,"15,00",,
,,,,,,,,15.04.2024,"18,97",15.04.2024,"18,97",2,
,,,,,,,,16.04.2024,"25,00",16.04.2024,"25,00",2,
,,,,,,,,19.04.2024,"11,00",17.04.2024,"17,00",,
,,,,,,,,30.04.2024,"2,53",18.04.2024,"137,00",2,
,,,,,,,,,,19.04.2024,"11,00",1,
,,,,,,,,,,22.04.2024,"31,00",,
,,,,,,,,,,24.04.2024,"10,00",1,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4071НТ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,,471,,"854,05",8,"5,9"
,,,,,,,,01.04.2024,"10,00",01.04.2024,"93,21",1,
,,,,,,,,08.04.2024,"17,00",08.04.2024,"17,00",,
,,,,,,,,11.04.2024,"32,00",11.04.2024,"31,00",,
,,,,,,,,12.04.2024,"6,00",12.04.2024,"6,24",,
,,,,,,,,13.04.2024,"3,00",13.04.2024,"3,00",,
,,,,,,,,16.04.2024,"31,00",16.04.2024,"148,36",2,
,,,,,,,,17.04.2024,"15,00",17.04.2024,"45,00",,
,,,,,,,,18.04.2024,"15,00",18.04.2024,"15,00",,
,,,,,,,,21.04.2024,"66,00",21.04.2024,"66,00",,
,,,,,,,,24.04.2024,"71,00",24.04.2024,"71,00",,
,,,,,,,,25.04.2024,"82,00",25.04.2024,"82,00",1,
,,,,,,,,26.04.2024,"123,00",26.04.2024,"123,00",2,
,,,,,,,,27.04.2024,"0,00",27.04.2024,"153,24",2,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4070НТ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,,416,,"1327,15",19,"3,6"
,,,,,,,,01.04.2024,"235,00",01.04.2024,"286,00",4,
,,,,,,,,11.04.2024,"49,00",11.04.2024,"49,00",2,
,,,,,,,,12.04.2024,"16,00",12.04.2024,"16,00",1,
,,,,,,,,15.04.2024,"5,00",15.04.2024,"5,00",,
,,,,,,,,18.04.2024,"28,00",18.04.2024,"28,00",,
,,,,,,,,27.04.2024,"26,00",19.04.2024,"298,00",1,
,,,,,,,,28.04.2024,"8,00",20.04.2024,"17,00",1,
,,,,,,,,30.04.2024,"49,00",23.04.2024,"54,00",2,
,,,,,,,,,,24.04.2024,"14,00",,
,,,,,,,,,,25.04.2024,"22,00",,
,,,,,,,,,,26.04.2024,"455,00",6,
,,,,,,,,,,27.04.2024,"26,00",,
,,,,,,,,,,28.04.2024,"8,00",,
,,,,,,,,,,30.04.2024,"49,15",2,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4170НТ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,,421,,"399,05",3,"5,9"
,,,,,,,,01.04.2024,"76,00",01.04.2024,"76,00",,
,,,,,,,,03.04.2024,"29,00",03.04.2024,"29,00",,
,,,,,,,,08.04.2024,"50,00",08.04.2024,"30,00",1,
,,,,,,,,10.04.2024,"0,05",10.04.2024,"0,05",,
,,,,,,,,11.04.2024,"15,00",11.04.2024,"15,00",,
,,,,,,,,15.04.2024,"18,00",15.04.2024,"18,00",1,
,,,,,,,,16.04.2024,"25,00",16.04.2024,"25,00",,
,,,,,,,,17.04.2024,"18,05",17.04.2024,"17,00",,
,,,,,,,,18.04.2024,"137,00",18.04.2024,"137,00",1,
,,,,,,,,19.04.2024,"11,90",19.04.2024,"11,00",,
,,,,,,,,22.04.2024,"31,00",22.04.2024,"31,00",,
,,,,,,,,30.04.2024,"10,00",30.04.2024,"10,00",,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0535РК77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,,720,,"766,68",2,"3,9"
,,,,,,,,01.04.2024,"93,21",01.04.2024,"93,21",,
,,,,,,,,08.04.2024,"17,00",08.04.2024,"17,40",,
,,,,,,,,11.04.2024,"31,00",11.04.2024,"37,00",,
,,,,,,,,12.04.2024,"6,24",12.04.2024,"6,24",,
,,,,,,,,13.04.2024,"3,00",13.04.2024,"3,00",,
,,,,,,,,16.04.2024,"48,13",16.04.2024,"48,13",1,
,,,,,,,,17.04.2024,"45,00",17.04.2024,"45,00",,
,,,,,,,,18.04.2024,"15,00",18.04.2024,"55,00",,
,,,,,,,,21.04.2024,"63,00",21.04.2024,"63,00",,
,,,,,,,,24.04.2024,"71,00",24.04.2024,"71,28",,
,,,,,,,,25.04.2024,"82,00",25.04.2024,"82,00",,
,,,,,,,,26.04.2024,"122,18",26.04.2024,"122,18",1,
,,,,,,,,27.04.2024,"123,24",27.04.2024,"123,24",,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0536РК77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,Прочие,,,,27,,"2122,31",12,"5,9"
,,,,,,,,12.04.2024,"19,69",01.04.2024,"92,00",,
,,,,,,,,23.04.2024,"7,31",02.04.2024,"69,00",,
,,,,,,,,,,03.04.2024,"1114,00",8,
,,,,,,,,,,04.04.2024,"105,00",,
,,,,,,,,,,05.04.2024,"63,00",2,
,,,,,,,,,,23.04.2024,"7,31",,
,,,,,,,,,,26.04.2024,"101,00",,
,,,,,,,,,,27.04.2024,"93,00",,
,,,,,,,,,,28.04.2024,"55,00",,
,,,,,,,,,,29.04.2024,"423,00",2,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9416РВ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,,1021,,"2347,66",4,"4,4"
,,,,,,,,01.04.2024,"286,00",01.04.2024,"286,00",,
,,,,,,,,11.04.2024,"39,00",03.04.2024,"1075,00",,
,,,,,,,,12.04.2024,"6,00",06.04.2024,"104,96",1,
,,,,,,,,15.04.2024,"5,00",09.04.2024,"149,70",1,
,,,,,,,,18.04.2024,"28,00",11.04.2024,"39,00",,
,,,,,,,,19.04.2024,"298,00",12.04.2024,"6,00",,
,,,,,,,,20.04.2024,"8,00",15.04.2024,"5,00",,
,,,,,,,,23.04.2024,"54,00",18.04.2024,"28,00",1,
,,,,,,,,24.04.2024,"14,00",19.04.2024,"298,00",,
,,,,,,,,25.04.2024,"22,00",20.04.2024,"8,00",,
,,,,,,,,26.04.2024,"235,00",23.04.2024,"51,00",1,
,,,,,,,,27.04.2024,"26,00",24.04.2024,"14,00",,
,,,,,,,,,,25.04.2024,"22,00",,
,,,,,,,,,,26.04.2024,"235,00",,
,,,,,,,,,,27.04.2024,"26,00",,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,6391СН67,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,,353,,0,0,0
,,,,,,,,01.04.2024,"48,00",,,,
,,,,,,,,05.04.2024,"9,00",,,,
,,,,,,,,09.04.2024,"42,00",,,,
,,,,,,,,10.04.2024,"32,00",,,,
,,,,,,,,17.04.2024,"31,00",,,,
,,,,,,,,18.04.2024,"27,00",,,,
,,,,,,,,19.04.2024,"1,00",,,,
,,,,,,,,20.04.2024,"1,00",,,,
,,,,,,,,25.04.2024,"13,00",,,,
,,,,,,,,26.04.2024,"37,00",,,,
,,,,,,,,27.04.2024,"112,00",,,,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,Б/Н,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,,0,,0,0,0
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,Б/Н,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,,198,,,0,
,,,,,,,,01.04.2024,"25,00",,,,
,,,,,,,,05.04.2024,"18,00",,,,
,,,,,,,,19.04.2024,"26,00",,,,
,,,,,,,,22.04.2024,"31,00",,,,
,,,,,,,,24.04.2024,"78,00",,,,
,,,,,,,,25.04.2024,"20,00",,,,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,Б/Н,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,,0,,0,0,0
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,Б/Н,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,,363,,"320,14",0,6
,,,,,,,,01.04.2024,"76,00",01.04.2024,"76,00",,
,,,,,,,,03.04.2024,"26,00",03.04.2024,"26,00",,
,,,,,,,,08.04.2024,"30,00",08.04.2024,"30,00",,
,,,,,,,,10.04.2024,"6,00",10.04.2024,"4,00",,
,,,,,,,,11.04.2024,"15,00",11.04.2024,"15,00",,
,,,,,,,,15.04.2024,"18,97",15.04.2024,"18,97",,
,,,,,,,,16.04.2024,"25,07",16.04.2024,"25,07",,
,,,,,,,,21.04.2024,"36,94",21.04.2024,"36,94",,
,,,,,,,,25.04.2024,"34,25",28.04.2024,"88,16",,
,,,,,,,,26.04.2024,"6,61",,,,
,,,,,,,,28.04.2024,"88,16",,,,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,Б/Н,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,,45,,"467,12",4,"4,2"
,,,,,,,,10.04.2024,"0,05",01.04.2024,"76,00",,
,,,,,,,,15.04.2024,"28,05",03.04.2024,"29,00",1,
,,,,,,,,19.04.2024,"16,90",08.04.2024,"54,12",,
,,,,,,,,,,10.04.2024,"0,05",,
,,,,,,,,,,11.04.2024,"15,00",,
,,,,,,,,,,15.04.2024,"18,00",,
,,,,,,,,,,16.04.2024,"25,00",1,
,,,,,,,,,,17.04.2024,"18,05",,
,,,,,,,,,,18.04.2024,"137,00",2,
,,,,,,,,,,19.04.2024,"13,90",,
,,,,,,,,,,22.04.2024,"31,00",,
,,,,,,,,,,28.04.2024,"40,00",,
,,,,,,,,,,30.04.2024,"10,00",,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,6750ЕТ75,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,,430,,"435,12",2,6
,,,,,,,,01.04.2024,"76,00",01.04.2024,"76,00",,
,,,,,,,,03.04.2024,"29,00",03.04.2024,"29,00",,
,,,,,,,,08.04.2024,"50,00",08.04.2024,"55,12",,
,,,,,,,,10.04.2024,"0,05",10.04.2024,"0,05",,
,,,,,,,,11.04.2024,"15,00",11.04.2024,"15,00",1,
,,,,,,,,15.04.2024,"18,00",15.04.2024,"18,00",,
,,,,,,,,16.04.2024,"25,00",16.04.2024,"25,00",,
,,,,,,,,17.04.2024,"18,05",17.04.2024,"18,05",1,
,,,,,,,,18.04.2024,"137,00",18.04.2024,"137,00",,
,,,,,,,,19.04.2024,"11,90",19.04.2024,"11,90",,
,,,,,,,,22.04.2024,"31,00",22.04.2024,"31,00",,
,,,,,,,,26.04.2024,"9,00",26.04.2024,"9,00",,
,,,,,,,,30.04.2024,"10,00",30.04.2024,"10,00",,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,6751ЕТ75,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,,333,,"364,12",0,"3,7"
,,,,,,,,01.04.2024,"76,00",01.04.2024,"76,00",,
,,,,,,,,03.04.2024,"26,00",03.04.2024,"26,00",,
,,,,,,,,08.04.2024,"30,00",08.04.2024,"30,00",,
,,,,,,,,10.04.2024,"25,00",10.04.2024,"25,00",,
,,,,,,,,11.04.2024,"15,00",11.04.2024,"15,00",,
,,,,,,,,15.04.2024,"48,97",15.04.2024,"48,97",,
,,,,,,,,16.04.2024,"35,07",16.04.2024,"35,07",,
,,,,,,,,21.04.2024,"36,1",21.04.2024,"36,1",,
,,,,,,,,25.04.2024,"34,25",25.04.2024,"34,25",,
,,,,,,,,26.04.2024,"6,61",26.04.2024,"6,61",,
,,,,,,,,,,28.04.2024,"24,00",,
,,,,,,,,,,30.04.2024,"7,12",,
